path,EEDCF,ASDI,MMCSO,N_white,N_black
image_detection/dataset_400/text_images/118.tif,57.811989837737734,0.6898087311109021,1.1995909773672304,2,3
image_detection/dataset_400/text_images/122.tif,54.84336029162273,0.7152018979337872,1.2324769483052032,1,8
image_detection/dataset_400/text_images/137.tif,60.68634484717251,0.717067566566017,1.0708369973532554,14,7
image_detection/dataset_400/text_images/140.tif,61.73249185523382,0.5805107478599281,1.4005187914855797,5,3
image_detection/dataset_400/text_images/155.tif,56.11437096595672,0.7408169126393064,1.0711172316562003,3,3
image_detection/dataset_400/text_images/160.tif,55.94267271794817,0.7204293548968049,1.182724720183925,2,4
image_detection/dataset_400/text_images/161.tif,61.586535542216616,0.7432852635838182,1.041154632037706,3,1
image_detection/dataset_400/text_images/165.tif,57.06944340925294,0.752445985659442,1.0936331938400374,6,11
image_detection/dataset_400/text_images/174.tif,55.09187567053735,0.7298651012428741,1.169058221656303,2,9
image_detection/dataset_400/text_images/176.tif,56.16021875333198,0.7541758057239986,1.092026869868665,3,15
image_detection/dataset_400/text_images/182.tif,56.82632382295475,0.7298273566115164,1.1692595627981284,2,9
image_detection/dataset_400/text_images/190.tif,58.48774704731062,0.7577989717108221,1.110380511830529,9,14
image_detection/dataset_400/text_images/22.tif,56.9173611891292,0.7363268858867124,1.1192386006569897,4,5
image_detection/dataset_400/text_images/221.tif,62.299731702365925,0.7558159657528376,0.901120891547702,25,3
image_detection/dataset_400/text_images/228.tif,62.15220700730227,0.7421615995445945,1.0636542095212618,5,1
image_detection/dataset_400/text_images/236.tif,58.496771726725314,0.7370501760930163,1.115308711170395,5,4
image_detection/dataset_400/text_images/244.tif,58.63930306026326,0.74835160718068,1.0771432615061212,6,6
image_detection/dataset_400/text_images/254.tif,54.78770941649971,0.7297683230347463,1.154712184901285,2,7
image_detection/dataset_400/text_images/258.tif,56.67906482497386,0.7651469055149565,0.934061499801945,4,2
image_detection/dataset_400/text_images/272.tif,58.25928561465019,0.7581752443170365,1.0473876343108879,7,8
image_detection/dataset_400/text_images/28.tif,56.144194607480856,0.7528994112775764,1.0523733557214903,4,8
image_detection/dataset_400/text_images/29.tif,53.87213696434835,0.7422040384541849,1.1027332322162773,2,9
image_detection/dataset_400/text_images/30.tif,57.51674518194736,0.7410882818061096,1.1389637720411392,5,10
image_detection/dataset_400/text_images/311.tif,56.606144883111696,0.7437603703521426,1.0707739950956352,2,6
image_detection/dataset_400/text_images/319.tif,59.378280074527865,0.7623961660240203,1.0636279793605603,10,10
image_detection/dataset_400/text_images/329.tif,57.4611836417613,0.7308923819246766,1.1635748122961695,3,8
image_detection/dataset_400/text_images/335.tif,58.56479270146265,0.7598177704503843,1.0384820627113491,8,7
image_detection/dataset_400/text_images/34.tif,55.29867687669016,0.7221257483670832,1.202946769516966,2,8
image_detection/dataset_400/text_images/340.tif,62.82313661285952,0.6609660676358708,1.1783701873053771,10,5
image_detection/dataset_400/text_images/341.tif,57.90732435939597,0.7605710158945596,1.0884471291980289,7,15
image_detection/dataset_400/text_images/4.tif,59.76063043949158,0.770276926968515,1.0294145971727091,12,9
image_detection/dataset_400/text_images/400.tif,57.21751395125969,0.7237915868335024,1.1720007369642662,2,5
image_detection/dataset_400/text_images/41.tif,54.91435448211865,0.7268914329449031,1.162735701735627,1,7
image_detection/dataset_400/text_images/42.tif,56.70673222344088,0.7183749817429486,1.171425564784123,1,2
image_detection/dataset_400/text_images/58.tif,56.24817993298497,0.7419368565558437,1.0964540867672274,4,6
image_detection/dataset_400/text_images/59.tif,56.9279285223607,0.7434625005377732,1.1036154549552375,4,8
image_detection/dataset_400/text_images/62.tif,57.49891412435944,0.7411514886964146,1.1311707413237775,5,9
image_detection/dataset_400/text_images/85.tif,56.833612858654014,0.7550885489564598,1.056247100009455,5,9
image_detection/dataset_400/text_images/90.tif,58.661215122050606,0.7937541865015562,0.7181208127322246,1,0
image_detection/dataset_400/text_images/91.tif,54.658878373643184,0.7369471837886965,1.0685851816326308,1,2
